sale_id,sale_rep_id,sale_date,car_model,sale_amount,commission_pct,sale_status,commission_amount
55,14,2024-11-11,Tacoma,34812.88,,Completed,0.0
56,8,2024-11-21,Highlander,39603.9,,Completed,0.0
57,5,2024-11-21,Tundra,36071.88,0.05,Completed,1803.59
58,5,2024-11-10,Corolla,24715.44,,Cancelled,0.0
59,3,2024-11-03,RAV4,28362.26,,Completed,0.0
60,20,2024-11-09,Tundra,40145.75,0.03,Completed,1204.37
61,5,2024-11-18,Tundra,45270.46,,Completed,0.0
62,13,2024-11-20,RAV4,28641.07,0.03,Completed,859.23
63,15,2024-11-13,RAV4,29136.08,0.02,Pending,582.72
64,18,2024-11-20,Camry,26159.94,,Completed,0.0
65,19,2024-11-19,Corolla,20884.03,0.03,Pending,626.52
66,6,2024-11-29,RAV4,29215.55,0.05,Completed,1460.78
67,19,2024-11-18,Tundra,41138.18,0.05,Completed,2056.91
68,3,2024-11-14,Highlander,43031.14,0.03,Completed,1290.93
69,15,2024-11-08,Highlander,42275.25,0.02,Completed,845.5
70,11,2024-11-12,Camry,26260.96,0.02,Completed,525.22
71,3,2024-11-19,Tacoma,34777.55,0.02,Completed,695.55
72,17,2024-11-05,Highlander,43381.39,0.05,Pending,2169.07
73,5,2024-11-30,Tacoma,33284.96,0.05,Completed,1664.25
74,15,2024-11-12,Highlander,41785.15,0.05,Completed,2089.26
75,4,2024-11-09,Highlander,39518.9,0.03,Completed,1185.57
76,2,2024-11-05,Corolla,21450.56,0.03,Completed,643.52
77,13,2024-11-13,Camry,28313.68,0.03,Pending,849.41
78,17,2024-11-05,Camry,29492.73,0.02,Pending,589.85
79,5,2024-11-22,Tacoma,30223.69,0.05,Completed,1511.18
80,9,2024-11-21,RAV4,30866.96,0.05,Cancelled,1543.35
81,20,2024-11-11,Tundra,42758.21,0.05,Completed,2137.91
82,19,2024-11-27,Tacoma,35584.2,0.05,Pending,1779.21
83,14,2024-11-11,Highlander,42649.44,,Pending,0.0
84,5,2024-11-17,Tacoma,39894.06,,Completed,0.0
85,18,2024-11-12,Tacoma,39089.41,0.02,Completed,781.79
86,7,2024-11-12,Tundra,49517.59,,Cancelled,0.0
87,19,2024-11-18,RAV4,33610.01,0.03,Completed,1008.3
88,8,2024-11-04,Tacoma,34140.12,,Completed,0.0
89,9,2024-11-08,Highlander,40059.49,0.02,Cancelled,801.19
90,17,2024-11-10,Camry,28320.6,0.02,Completed,566.41
91,4,2024-11-16,RAV4,27570.51,0.05,Completed,1378.53
92,11,2024-11-17,Tundra,41604.28,0.02,Completed,832.09
93,4,2024-11-13,Camry,29643.38,0.03,Completed,889.3
94,9,2024-11-22,RAV4,31095.34,,Pending,0.0
95,9,2024-11-16,Camry,25753.83,0.05,Completed,1287.69
96,16,2024-11-17,Highlander,44498.46,0.03,Completed,1334.95
97,6,2024-11-23,Highlander,41994.79,,Completed,0.0
98,1,2024-11-07,Tacoma,31378.09,0.02,Completed,627.56
99,1,2024-11-04,Tundra,39879.41,0.02,Completed,797.59
100,16,2024-11-20,Camry,25962.56,0.02,Completed,519.25
101,7,2024-11-13,RAV4,32219.86,0.03,Pending,966.6
102,2,2024-11-01,Tacoma,36531.02,,Completed,0.0
103,6,2024-11-04,Highlander,39423.27,0.02,Cancelled,788.47
104,13,2024-11-01,Highlander,38543.89,0.05,Completed,1927.19
105,2,2024-11-12,Tacoma,34122.47,,Completed,0.0
106,13,2024-11-02,Tacoma,39453.45,0.03,Completed,1183.6
107,12,2024-11-09,Tacoma,39783.31,,Completed,0.0
108,15,2024-11-02,Camry,29272.05,0.02,Completed,585.44
109,9,2024-11-20,Tundra,49740.82,0.03,Completed,1492.22
110,2,2024-11-06,Highlander,37539.94,0.03,Completed,1126.2
111,14,2024-11-04,RAV4,32369.5,0.05,Completed,1618.48
112,15,2024-11-13,Corolla,23462.78,,Completed,0.0
113,12,2024-11-21,Corolla,23337.92,0.05,Pending,1166.9
114,15,2024-11-13,RAV4,32588.93,0.05,Pending,1629.45
115,17,2024-11-12,Highlander,40136.52,,Completed,0.0
116,3,2024-11-30,Tundra,45031.33,0.05,Completed,2251.57
117,3,2024-11-03,RAV4,30514.65,0.02,Completed,610.29
118,6,2024-11-11,Tacoma,33363.87,0.02,Pending,667.28
119,14,2024-11-18,Tacoma,38880.67,0.03,Pending,1166.42
120,11,2024-11-05,Tacoma,30601.62,0.03,Completed,918.05
121,9,2024-11-29,Tundra,38943.11,,Completed,0.0
122,3,2024-11-23,Tundra,39229.17,0.02,Completed,784.58
123,8,2024-11-01,Highlander,40575.11,0.02,Completed,811.5
124,16,2024-11-10,Corolla,24406.89,0.02,Completed,488.14
125,4,2024-11-20,Highlander,42013.85,,Completed,0.0
126,5,2024-11-11,Highlander,36509.85,,Completed,0.0
127,18,2024-11-03,Camry,29966.2,0.05,Completed,1498.31
128,19,2024-11-24,Tacoma,32581.98,,Pending,0.0
129,6,2024-11-18,Tacoma,38842.88,0.05,Completed,1942.14
130,15,2024-11-18,RAV4,28943.6,,Completed,0.0
131,1,2024-11-09,Camry,25252.56,0.05,Completed,1262.63
132,8,2024-11-06,Tacoma,37307.8,0.02,Completed,746.16
133,9,2024-11-14,Tacoma,31007.88,0.02,Completed,620.16
134,16,2024-11-24,RAV4,34922.1,0.05,Completed,1746.1
135,18,2024-11-25,Tacoma,35290.89,,Completed,0.0
136,19,2024-11-06,Corolla,20623.96,0.05,Completed,1031.2
137,1,2024-11-17,Tundra,41883.61,0.02,Completed,837.67
138,4,2024-11-16,RAV4,34275.87,0.03,Completed,1028.28
139,15,2024-11-27,RAV4,27721.47,0.05,Pending,1386.07
140,9,2024-11-10,Tundra,47151.69,,Completed,0.0
141,1,2024-11-20,Tacoma,33826.62,0.02,Completed,676.53
142,4,2024-11-29,Tundra,44231.11,0.05,Completed,2211.56
143,14,2024-11-17,Camry,26872.03,0.05,Completed,1343.6
144,13,2024-11-25,Corolla,20845.5,0.03,Pending,625.36
145,18,2024-11-07,Camry,27806.57,0.05,Completed,1390.33
146,8,2024-11-01,Highlander,43146.67,0.05,Completed,2157.33
147,12,2024-11-24,RAV4,33066.4,0.02,Completed,661.33
148,12,2024-11-07,RAV4,27872.31,0.02,Pending,557.45
149,7,2024-11-18,Tacoma,37076.19,,Pending,0.0
150,1,2024-11-09,Corolla,24432.4,0.02,Completed,488.65
151,2,2024-11-24,Highlander,40278.82,,Completed,0.0
152,16,2024-11-30,Highlander,37248.17,0.05,Completed,1862.41
153,20,2024-11-03,Highlander,37734.38,0.05,Completed,1886.72
154,20,2024-11-01,RAV4,27486.46,,Completed,0.0
155,12,2024-11-12,Highlander,40324.3,0.02,Completed,806.49
156,13,2024-11-07,Highlander,38807.13,0.02,Completed,776.14
157,9,2024-11-09,Highlander,35171.35,,Completed,0.0
158,10,2024-11-24,Corolla,24909.72,,Completed,0.0
159,13,2024-11-01,Tundra,37550.39,0.02,Completed,751.01
160,3,2024-11-06,Camry,27221.08,0.05,Pending,1361.05
161,13,2024-11-29,Camry,29089.35,0.02,Completed,581.79
162,12,2024-11-21,Highlander,37316.35,0.02,Completed,746.33
163,18,2024-11-13,Camry,28167.24,,Completed,0.0
164,15,2024-11-17,Camry,25177.34,0.03,Completed,755.32
165,16,2024-11-17,Tacoma,39988.91,0.02,Completed,799.78
166,7,2024-11-03,RAV4,33404.57,0.02,Completed,668.09
167,16,2024-11-28,Camry,28485.02,0.02,Completed,569.7
168,3,2024-11-07,Tacoma,38039.59,0.05,Pending,1901.98
169,5,2024-11-09,Highlander,42278.65,0.05,Pending,2113.93
170,7,2024-11-17,Corolla,23253.52,0.05,Pending,1162.68
171,3,2024-11-07,Tacoma,35746.18,0.02,Completed,714.92
172,6,2024-11-07,Tacoma,30713.38,0.02,Completed,614.27
173,4,2024-11-23,RAV4,28278.86,0.05,Completed,1413.94
174,18,2024-11-29,Corolla,22339.72,0.03,Pending,670.19
175,14,2024-11-26,Tundra,46076.94,0.02,Completed,921.54
176,12,2024-11-25,Tundra,44617.16,,Completed,0.0
177,2,2024-11-26,Corolla,21893.84,,Completed,0.0
178,14,2024-11-01,RAV4,29085.6,0.02,Completed,581.71
179,7,2024-11-15,Tundra,47161.39,0.05,Completed,2358.07
180,15,2024-11-30,Tundra,46570.68,0.02,Completed,931.41
181,14,2024-11-11,Highlander,44884.5,,Pending,0.0
182,8,2024-11-24,Camry,25608.73,0.05,Completed,1280.44
183,7,2024-11-22,Corolla,22867.53,,Pending,0.0
184,9,2024-11-05,RAV4,34768.49,0.02,Completed,695.37
185,2,2024-11-13,Tundra,40320.53,0.05,Completed,2016.03
186,7,2024-11-12,RAV4,34713.48,0.02,Completed,694.27
187,4,2024-11-08,Camry,26224.6,,Completed,0.0
188,15,2024-11-21,Tundra,44773.12,0.03,Completed,1343.19
189,15,2024-11-03,Corolla,21735.5,,Completed,0.0
190,1,2024-11-21,Tundra,49737.34,0.05,Pending,2486.87
191,17,2024-11-17,Tundra,39483.74,0.02,Completed,789.67
192,19,2024-11-03,Highlander,44105.14,0.03,Completed,1323.15
193,20,2024-11-04,Tacoma,32887.14,0.02,Completed,657.74
194,11,2024-11-11,Tundra,40343.46,,Completed,0.0
195,17,2024-11-06,Highlander,37005.28,0.02,Completed,740.11
196,11,2024-11-09,RAV4,29093.11,,Completed,0.0
197,17,2024-11-08,RAV4,28611.77,0.03,Completed,858.35
198,3,2024-11-09,Camry,25062.95,,Completed,0.0
199,6,2024-11-17,Corolla,23423.36,0.02,Completed,468.47
200,13,2024-11-24,Corolla,24257.34,0.02,Pending,485.15
201,9,2024-11-10,Camry,26339.37,,Cancelled,0.0
202,20,2024-11-11,Highlander,40517.24,0.03,Completed,1215.52
203,19,2024-11-18,RAV4,34245.12,0.03,Completed,1027.35
204,5,2024-11-01,RAV4,34529.56,0.03,Completed,1035.89
205,13,2024-11-21,RAV4,34392.53,0.05,Pending,1719.63
206,18,2024-11-17,Tacoma,39783.43,0.02,Completed,795.67
207,5,2024-11-28,Highlander,35552.15,0.05,Completed,1777.61
208,7,2024-11-12,Camry,26861.98,,Pending,0.0
209,1,2024-11-01,Corolla,24676.47,0.02,Completed,493.53
210,1,2024-11-22,RAV4,30120.17,,Completed,0.0
211,13,2024-11-24,Corolla,21446.76,0.03,Pending,643.4
212,11,2024-11-09,Corolla,20061.03,,Completed,0.0
213,19,2024-11-16,Highlander,36134.49,0.03,Completed,1084.03
214,19,2024-11-16,Camry,25571.72,0.05,Completed,1278.59
215,6,2024-11-02,RAV4,34934.48,0.05,Completed,1746.72
216,14,2024-11-25,Corolla,23870.01,0.03,Completed,716.1
217,11,2024-11-15,Camry,26279.43,0.05,Pending,1313.97
218,5,2024-11-25,Tundra,47154.92,0.02,Pending,943.1
219,6,2024-11-08,Tacoma,30713.59,0.05,Completed,1535.68
220,19,2024-11-09,RAV4,29764.59,0.03,Completed,892.94
221,19,2024-11-02,Highlander,42548.21,0.02,Completed,850.96
222,16,2024-11-27,Camry,28490.24,0.03,Completed,854.71
223,1,2024-11-22,RAV4,32885.28,0.03,Completed,986.56
224,18,2024-11-06,Camry,25823.75,0.05,Completed,1291.19
225,5,2024-11-04,Camry,26318.24,0.03,Completed,789.55
226,5,2024-11-05,Tundra,38123.75,0.03,Completed,1143.71
227,9,2024-11-08,Tundra,44114.64,0.03,Completed,1323.44
228,16,2024-11-03,Tundra,38618.35,0.05,Completed,1930.92
229,18,2024-11-25,RAV4,31903.99,0.03,Cancelled,957.12
230,18,2024-11-27,RAV4,34502.79,,Completed,0.0
231,20,2024-11-06,Corolla,21743.68,0.05,Completed,1087.18
232,2,2024-11-22,Tacoma,37011.28,,Completed,0.0
233,10,2024-11-25,RAV4,28467.32,0.03,Cancelled,854.02
234,8,2024-11-05,Camry,26532.61,0.02,Pending,530.65
235,15,2024-11-24,Tacoma,36918.52,0.03,Completed,1107.56
236,10,2024-11-06,Highlander,36631.91,0.03,Completed,1098.96
237,18,2024-11-08,Highlander,37386.0,0.05,Pending,1869.3
238,18,2024-11-29,Tacoma,35032.53,0.02,Cancelled,700.65
239,18,2024-11-17,Tundra,36653.13,0.02,Completed,733.06
240,19,2024-11-06,Tundra,45814.43,0.03,Completed,1374.43
241,13,2024-11-27,RAV4,27453.76,0.02,Completed,549.08
242,8,2024-11-28,Camry,28186.95,0.02,Completed,563.74
243,7,2024-11-18,Camry,28135.63,,Completed,0.0
244,4,2024-11-03,Corolla,20819.19,0.05,Cancelled,1040.96
245,17,2024-11-03,Tacoma,31272.95,,Cancelled,0.0
246,7,2024-11-20,RAV4,34313.24,0.03,Pending,1029.4
247,11,2024-11-15,Tundra,37644.87,,Completed,0.0
248,9,2024-11-16,Highlander,36228.51,0.02,Completed,724.57
249,20,2024-11-20,Highlander,40192.98,0.03,Cancelled,1205.79
250,8,2024-11-07,Tundra,36459.0,0.05,Completed,1822.95
251,5,2024-11-19,Camry,25337.88,,Pending,0.0
252,5,2024-11-07,Highlander,39843.79,,Completed,0.0
253,16,2024-11-04,Highlander,39673.91,0.05,Completed,1983.7
254,4,2024-11-01,Corolla,22774.52,0.05,Pending,1138.73
255,12,2024-11-11,Tacoma,32265.92,0.03,Completed,967.98
256,10,2024-11-25,Tacoma,37248.8,,Cancelled,0.0
257,13,2024-11-28,Tundra,37464.06,0.02,Pending,749.28
258,4,2024-11-08,Highlander,41486.53,0.05,Completed,2074.33
259,13,2024-11-18,Corolla,23883.81,0.02,Completed,477.68
260,3,2024-11-12,Tacoma,32836.22,0.05,Pending,1641.81
261,16,2024-11-05,RAV4,28269.26,0.03,Completed,848.08
262,18,2024-11-28,Camry,27260.14,0.02,Completed,545.2
263,9,2024-11-04,Corolla,24503.6,0.02,Completed,490.07
264,2,2024-11-01,RAV4,30908.43,0.03,Cancelled,927.25
265,1,2024-11-11,Camry,27859.25,0.05,Pending,1392.96
266,1,2024-11-16,Camry,27149.79,0.05,Completed,1357.49
267,17,2024-11-03,Highlander,39848.63,0.03,Pending,1195.46
268,12,2024-11-14,Tacoma,31282.83,,Completed,0.0
269,7,2024-11-05,Tundra,43696.05,,Completed,0.0
270,18,2024-11-28,Highlander,38860.12,,Completed,0.0
271,7,2024-11-07,Tundra,40804.49,,Pending,0.0
272,12,2024-11-26,Tundra,38834.22,0.05,Pending,1941.71
273,16,2024-11-05,Corolla,22342.83,0.03,Completed,670.28
274,13,2024-11-26,Corolla,21767.94,0.03,Cancelled,653.04
275,6,2024-11-15,Highlander,36912.34,0.03,Completed,1107.37
276,5,2024-11-13,RAV4,28759.16,0.05,Cancelled,1437.96
277,13,2024-11-27,Highlander,35490.42,0.02,Completed,709.81
278,12,2024-11-11,Tundra,38050.09,0.03,Pending,1141.5
279,12,2024-11-19,Tundra,44526.38,,Cancelled,0.0
280,17,2024-11-14,RAV4,28874.81,0.02,Completed,577.5
281,20,2024-11-21,Camry,28602.23,,Completed,0.0
282,10,2024-11-14,Camry,27047.1,0.03,Cancelled,811.41
283,3,2024-11-07,RAV4,31473.95,0.03,Completed,944.22
284,2,2024-11-24,Camry,29369.06,0.03,Completed,881.07
285,20,2024-11-07,Camry,29126.61,0.03,Pending,873.8
286,5,2024-11-04,Tacoma,36896.69,0.02,Pending,737.93
287,2,2024-11-10,Tundra,46201.8,0.05,Completed,2310.09
288,18,2024-11-03,Corolla,22505.36,,Completed,0.0
289,6,2024-11-17,Highlander,35377.24,0.05,Completed,1768.86
290,13,2024-11-10,Highlander,35102.56,0.05,Completed,1755.13
291,9,2024-11-29,Tacoma,32373.84,0.03,Completed,971.22
292,20,2024-11-30,Tacoma,34857.95,,Completed,0.0
293,18,2024-11-25,Tundra,47441.45,0.05,Completed,2372.07
294,5,2024-11-23,Tundra,46590.04,0.05,Completed,2329.5
295,9,2024-11-12,Corolla,20650.94,0.05,Completed,1032.55
296,10,2024-11-08,Camry,28082.83,,Completed,0.0
297,7,2024-11-07,Corolla,20673.95,0.03,Completed,620.22
298,14,2024-11-17,Tundra,39871.64,0.03,Completed,1196.15
299,18,2024-11-26,Tacoma,37510.47,0.05,Completed,1875.52
300,20,2024-11-13,Tundra,38715.73,0.03,Pending,1161.47
301,2,2024-11-15,Camry,26249.79,,Cancelled,0.0
302,18,2024-11-01,Tundra,46279.17,0.03,Completed,1388.38
303,15,2024-11-17,Corolla,20934.3,,Completed,0.0
304,9,2024-11-17,RAV4,28249.37,,Completed,0.0
305,16,2024-11-14,RAV4,32867.17,0.05,Completed,1643.36
306,18,2024-11-01,Camry,28615.36,0.03,Completed,858.46
307,11,2024-11-20,Corolla,24122.61,0.05,Pending,1206.13
308,11,2024-11-23,Tacoma,31624.59,0.02,Completed,632.49
309,7,2024-11-22,Highlander,40464.02,0.02,Completed,809.28
310,16,2024-11-22,Camry,26255.85,0.03,Completed,787.68
311,13,2024-11-19,Highlander,37850.05,,Completed,0.0
312,16,2024-11-08,Tundra,43059.02,,Pending,0.0
313,15,2024-11-29,RAV4,30728.09,0.03,Completed,921.84
314,14,2024-11-03,RAV4,31413.99,0.03,Completed,942.42
315,13,2024-11-13,Tundra,38464.44,,Completed,0.0
316,4,2024-11-15,Corolla,21403.33,0.05,Completed,1070.17
317,1,2024-11-01,Camry,27690.66,0.03,Completed,830.72
318,7,2024-11-28,Corolla,21924.79,,Completed,0.0
319,3,2024-11-06,Camry,25691.32,0.03,Pending,770.74
320,16,2024-11-06,RAV4,29824.95,0.02,Completed,596.5
321,16,2024-11-25,RAV4,31356.77,,Completed,0.0
322,8,2024-11-01,RAV4,30599.11,0.03,Pending,917.97
323,2,2024-11-16,Camry,26185.46,0.02,Completed,523.71
324,5,2024-11-04,Tundra,35537.56,0.05,Completed,1776.88
325,17,2024-11-20,Camry,28876.66,,Completed,0.0
326,1,2024-11-30,Tacoma,32891.35,0.05,Completed,1644.57
327,1,2024-11-03,Tacoma,34087.87,0.03,Completed,1022.64
328,19,2024-11-19,Camry,29396.94,0.02,Completed,587.94
329,20,2024-11-27,Camry,28098.65,0.02,Cancelled,561.97
330,13,2024-11-25,Corolla,22461.18,0.05,Completed,1123.06
331,2,2024-11-24,RAV4,30649.25,0.05,Completed,1532.46
332,5,2024-11-04,Corolla,22610.35,0.05,Cancelled,1130.52
333,10,2024-11-27,Highlander,39226.76,,Completed,0.0
334,10,2024-11-24,Highlander,44005.39,0.05,Completed,2200.27
335,11,2024-11-27,Tundra,38484.02,,Completed,0.0
336,14,2024-11-12,RAV4,29914.81,0.05,Completed,1495.74
337,3,2024-11-02,Camry,25974.81,0.05,Completed,1298.74
338,14,2024-11-07,RAV4,34233.94,0.02,Completed,684.68
339,3,2024-11-24,Tundra,38094.66,,Completed,0.0
340,17,2024-11-26,Corolla,24043.66,0.03,Pending,721.31
341,1,2024-11-16,Tacoma,37297.04,,Pending,0.0
342,13,2024-11-15,Highlander,43981.88,0.02,Completed,879.64
343,17,2024-11-02,Tundra,45023.27,,Completed,0.0
344,19,2024-11-05,Tundra,46840.11,0.02,Cancelled,936.8
345,5,2024-11-17,Tacoma,37840.9,0.03,Completed,1135.23
346,1,2024-11-24,Camry,29794.24,,Completed,0.0
347,16,2024-11-03,RAV4,28217.91,0.05,Completed,1410.9
348,11,2024-11-19,Corolla,23262.14,0.03,Pending,697.86
349,17,2024-11-01,Tundra,41372.43,0.02,Completed,827.45
350,11,2024-11-16,Tundra,46508.16,0.02,Completed,930.16
351,4,2024-11-25,Highlander,44875.86,0.05,Pending,2243.79
352,7,2024-11-30,Corolla,20570.36,0.03,Completed,617.11
353,8,2024-11-30,Tundra,44104.05,,Completed,0.0
354,20,2024-11-10,RAV4,30945.82,0.05,Pending,1547.29
355,12,2024-11-29,Corolla,23802.38,,Completed,0.0
356,6,2024-11-25,RAV4,30624.81,,Completed,0.0
357,6,2024-11-02,Highlander,39038.15,0.03,Completed,1171.14
358,2,2024-11-05,Camry,27614.79,0.02,Completed,552.3
359,8,2024-11-08,Camry,28601.82,0.02,Completed,572.04
360,7,2024-11-10,Highlander,42534.37,,Completed,0.0
361,10,2024-11-15,Tacoma,30311.02,0.02,Completed,606.22
362,16,2024-11-20,Camry,26639.27,,Cancelled,0.0
363,19,2024-11-01,Highlander,41342.23,0.03,Completed,1240.27
364,13,2024-11-03,RAV4,34773.59,,Completed,0.0
365,15,2024-11-10,RAV4,32362.2,,Completed,0.0
366,4,2024-11-21,Corolla,20653.68,,Pending,0.0
367,1,2024-11-11,RAV4,28045.56,,Pending,0.0
368,3,2024-11-14,Highlander,44654.76,0.03,Cancelled,1339.64
369,16,2024-11-05,Tacoma,30979.28,0.03,Completed,929.38
370,7,2024-11-29,Tundra,49575.74,0.05,Completed,2478.79
371,5,2024-11-29,Corolla,24471.39,0.03,Pending,734.14
372,9,2024-11-12,Highlander,36673.33,,Completed,0.0
373,6,2024-11-10,Tundra,39627.55,0.02,Completed,792.55
374,14,2024-11-26,Tacoma,31277.99,0.05,Cancelled,1563.9
375,17,2024-11-06,Corolla,20834.22,0.05,Pending,1041.71
376,18,2024-11-22,Camry,28589.0,,Completed,0.0
377,1,2024-11-05,Corolla,21851.68,,Cancelled,0.0
378,13,2024-11-17,Tacoma,31899.81,,Completed,0.0
379,14,2024-11-26,Tundra,49650.97,,Completed,0.0
380,12,2024-11-11,RAV4,28704.3,0.02,Completed,574.09
381,13,2024-11-26,RAV4,30057.58,0.02,Pending,601.15
382,9,2024-11-14,Tacoma,30199.92,0.03,Completed,906.0
383,10,2024-11-27,Tacoma,31640.64,0.05,Completed,1582.03
384,10,2024-11-22,Corolla,21228.73,0.05,Completed,1061.44
385,10,2024-11-20,Tacoma,31838.0,0.02,Completed,636.76
386,5,2024-11-13,Camry,27853.75,,Completed,0.0
387,19,2024-11-18,RAV4,30035.32,0.02,Completed,600.71
388,17,2024-11-28,Highlander,36881.13,,Completed,0.0
389,13,2024-11-30,RAV4,28363.0,0.03,Pending,850.89
390,16,2024-11-16,Tundra,48109.6,0.03,Completed,1443.29
391,14,2024-11-13,Camry,25777.56,0.03,Completed,773.33
392,15,2024-11-28,Tacoma,30337.74,,Completed,0.0
393,20,2024-11-16,Camry,28033.91,0.05,Completed,1401.7
394,11,2024-11-25,Camry,26488.68,0.02,Completed,529.77
395,9,2024-11-08,Corolla,20122.84,0.02,Completed,402.46
396,11,2024-11-18,Highlander,36156.36,0.03,Cancelled,1084.69
397,6,2024-11-04,Corolla,21351.34,,Pending,0.0
398,3,2024-11-24,Tundra,48565.64,0.03,Completed,1456.97
399,15,2024-11-12,Highlander,42981.01,,Completed,0.0
400,17,2024-11-18,Corolla,21446.28,,Completed,0.0
401,20,2024-11-08,Tacoma,37829.94,0.03,Completed,1134.9
402,15,2024-11-21,Corolla,22046.96,0.02,Pending,440.94
403,2,2024-11-03,Highlander,43701.27,0.05,Completed,2185.06
404,5,2024-11-12,Corolla,20220.42,0.05,Pending,1011.02
405,4,2024-11-11,RAV4,34218.51,0.05,Completed,1710.93
406,12,2024-11-10,RAV4,29097.99,0.05,Completed,1454.9
407,13,2024-11-23,Tundra,43416.42,0.05,Cancelled,2170.82
408,14,2024-11-27,Corolla,24734.71,0.05,Pending,1236.74
409,11,2024-11-24,Highlander,37042.88,,Completed,0.0
410,20,2024-11-07,Camry,25476.86,0.03,Pending,764.31
411,8,2024-11-09,Highlander,44068.57,0.02,Completed,881.37
412,18,2024-11-18,Camry,25346.24,0.03,Completed,760.39
413,14,2024-11-14,Tacoma,32734.65,,Completed,0.0
414,13,2024-11-13,Camry,27283.72,,Cancelled,0.0
415,16,2024-11-05,Tundra,43993.7,0.03,Completed,1319.81
416,15,2024-11-01,Highlander,44800.11,0.02,Completed,896.0
417,17,2024-11-11,Camry,27157.44,0.05,Pending,1357.87
418,19,2024-11-29,Tundra,44339.69,0.05,Completed,2216.98
419,16,2024-11-27,Corolla,20819.3,0.05,Pending,1040.96
420,18,2024-11-08,Highlander,44552.62,0.02,Pending,891.05
421,3,2024-11-14,Camry,26006.8,0.02,Cancelled,520.14
422,15,2024-11-02,Tundra,37808.1,,Completed,0.0
423,16,2024-11-21,Tacoma,36373.49,0.05,Completed,1818.67
424,19,2024-11-22,Tundra,44047.71,0.02,Completed,880.95
425,8,2024-11-25,Tundra,42135.47,,Completed,0.0
