sale_id,sale_rep_id,sale_date,car_model,sale_amount,commission_pct,sale_status
82,19,2024-11-27,Tacoma,35584.2,0.05,Pending
83,14,2024-11-11,Highlander,42649.44,,Pending
84,5,2024-11-17,Tacoma,39894.06,,Completed
85,18,2024-11-12,Tacoma,39089.41,0.02,Completed
86,7,2024-11-12,Tundra,49517.59,,Cancelled
87,19,2024-11-18,RAV4,33610.01,0.03,Completed
88,8,2024-11-04,Tacoma,34140.12,,Completed
89,9,2024-11-08,Highlander,40059.49,0.02,Cancelled
90,17,2024-11-10,Camry,28320.6,0.02,Completed
91,4,2024-11-16,RAV4,27570.51,0.05,Completed
92,11,2024-11-17,Tundra,41604.28,0.02,Completed
93,4,2024-11-13,Camry,29643.38,0.03,Completed
94,9,2024-11-22,RAV4,31095.34,,Pending
95,9,2024-11-16,Camry,25753.83,0.05,Completed
96,16,2024-11-17,Highlander,44498.46,0.03,Completed
97,6,2024-11-23,Highlander,41994.79,,Completed
98,1,2024-11-07,Tacoma,31378.09,0.02,Completed
99,1,2024-11-04,Tundra,39879.41,0.02,Completed
100,16,2024-11-20,Camry,25962.56,0.02,Completed
101,7,2024-11-13,RAV4,32219.86,0.03,Pending
102,2,2024-11-01,Tacoma,36531.02,,Completed
103,6,2024-11-04,Highlander,39423.27,0.02,Cancelled
104,13,2024-11-01,Highlander,38543.89,0.05,Completed
105,2,2024-11-12,Tacoma,34122.47,,Completed
106,13,2024-11-02,Tacoma,39453.45,0.03,Completed
107,12,2024-11-09,Tacoma,39783.31,,Completed
108,15,2024-11-02,Camry,29272.05,0.02,Completed
109,9,2024-11-20,Tundra,49740.82,0.03,Completed
110,2,2024-11-06,Highlander,37539.94,0.03,Completed
111,14,2024-11-04,RAV4,32369.5,0.05,Completed
112,15,2024-11-13,Corolla,23462.78,,Completed
113,12,2024-11-21,Corolla,23337.92,0.05,Pending
114,15,2024-11-13,RAV4,32588.93,0.05,Pending
115,17,2024-11-12,Highlander,40136.52,,Completed
116,3,2024-11-30,Tundra,45031.33,0.05,Completed
117,3,2024-11-03,RAV4,30514.65,0.02,Completed
118,6,2024-11-11,Tacoma,33363.87,0.02,Pending
119,14,2024-11-18,Tacoma,38880.67,0.03,Pending
120,11,2024-11-05,Tacoma,30601.62,0.03,Completed
121,9,2024-11-29,Tundra,38943.11,,Completed
122,3,2024-11-23,Tundra,39229.17,0.02,Completed
123,8,2024-11-01,Highlander,40575.11,0.02,Completed
124,16,2024-11-10,Corolla,24406.89,0.02,Completed
125,4,2024-11-20,Highlander,42013.85,,Completed
126,5,2024-11-11,Highlander,36509.85,,Completed
127,18,2024-11-03,Camry,29966.2,0.05,Completed
128,19,2024-11-24,Tacoma,32581.98,,Pending
129,6,2024-11-18,Tacoma,38842.88,0.05,Completed
130,15,2024-11-18,RAV4,28943.6,,Completed
131,1,2024-11-09,Camry,25252.56,0.05,Completed
132,8,2024-11-06,Tacoma,37307.8,0.02,Completed
133,9,2024-11-14,Tacoma,31007.88,0.02,Completed
134,16,2024-11-24,RAV4,34922.1,0.05,Completed
135,18,2024-11-25,Tacoma,35290.89,,Completed
136,19,2024-11-06,Corolla,20623.96,0.05,Completed
137,1,2024-11-17,Tundra,41883.61,0.02,Completed
138,4,2024-11-16,RAV4,34275.87,0.03,Completed
139,15,2024-11-27,RAV4,27721.47,0.05,Pending
140,9,2024-11-10,Tundra,47151.69,,Completed
141,1,2024-11-20,Tacoma,33826.62,0.02,Completed
142,4,2024-11-29,Tundra,44231.11,0.05,Completed
143,14,2024-11-17,Camry,26872.03,0.05,Completed
144,13,2024-11-25,Corolla,20845.5,0.03,Pending
145,18,2024-11-07,Camry,27806.57,0.05,Completed
146,8,2024-11-01,Highlander,43146.67,0.05,Completed
147,12,2024-11-24,RAV4,33066.4,0.02,Completed
148,12,2024-11-07,RAV4,27872.31,0.02,Pending
149,7,2024-11-18,Tacoma,37076.19,,Pending
150,1,2024-11-09,Corolla,24432.4,0.02,Completed
151,2,2024-11-24,Highlander,40278.82,,Completed
152,16,2024-11-30,Highlander,37248.17,0.05,Completed
153,20,2024-11-03,Highlander,37734.38,0.05,Completed
154,20,2024-11-01,RAV4,27486.46,,Completed
155,12,2024-11-12,Highlander,40324.3,0.02,Completed
156,13,2024-11-07,Highlander,38807.13,0.02,Completed
157,9,2024-11-09,Highlander,35171.35,,Completed
158,10,2024-11-24,Corolla,24909.72,,Completed
159,13,2024-11-01,Tundra,37550.39,0.02,Completed
160,3,2024-11-06,Camry,27221.08,0.05,Pending
161,13,2024-11-29,Camry,29089.35,0.02,Completed
162,12,2024-11-21,Highlander,37316.35,0.02,Completed
163,18,2024-11-13,Camry,28167.24,,Completed
164,15,2024-11-17,Camry,25177.34,0.03,Completed
165,16,2024-11-17,Tacoma,39988.91,0.02,Completed
166,7,2024-11-03,RAV4,33404.57,0.02,Completed
167,16,2024-11-28,Camry,28485.02,0.02,Completed
168,3,2024-11-07,Tacoma,38039.59,0.05,Pending
169,5,2024-11-09,Highlander,42278.65,0.05,Pending
170,7,2024-11-17,Corolla,23253.52,0.05,Pending
171,3,2024-11-07,Tacoma,35746.18,0.02,Completed
172,6,2024-11-07,Tacoma,30713.38,0.02,Completed
173,4,2024-11-23,RAV4,28278.86,0.05,Completed
174,18,2024-11-29,Corolla,22339.72,0.03,Pending
175,14,2024-11-26,Tundra,46076.94,0.02,Completed
176,12,2024-11-25,Tundra,44617.16,,Completed
177,2,2024-11-26,Corolla,21893.84,,Completed
178,14,2024-11-01,RAV4,29085.6,0.02,Completed
179,7,2024-11-15,Tundra,47161.39,0.05,Completed
180,15,2024-11-30,Tundra,46570.68,0.02,Completed
181,14,2024-11-11,Highlander,44884.5,,Pending
182,8,2024-11-24,Camry,25608.73,0.05,Completed
183,7,2024-11-22,Corolla,22867.53,,Pending
184,9,2024-11-05,RAV4,34768.49,0.02,Completed
185,2,2024-11-13,Tundra,40320.53,0.05,Completed
186,7,2024-11-12,RAV4,34713.48,0.02,Completed
187,4,2024-11-08,Camry,26224.6,,Completed
188,15,2024-11-21,Tundra,44773.12,0.03,Completed
189,15,2024-11-03,Corolla,21735.5,,Completed
190,1,2024-11-21,Tundra,49737.34,0.05,Pending
191,17,2024-11-17,Tundra,39483.74,0.02,Completed
192,19,2024-11-03,Highlander,44105.14,0.03,Completed
193,20,2024-11-04,Tacoma,32887.14,0.02,Completed
194,11,2024-11-11,Tundra,40343.46,,Completed
195,17,2024-11-06,Highlander,37005.28,0.02,Completed
196,11,2024-11-09,RAV4,29093.11,,Completed
197,17,2024-11-08,RAV4,28611.77,0.03,Completed
198,3,2024-11-09,Camry,25062.95,,Completed
199,6,2024-11-17,Corolla,23423.36,0.02,Completed
200,13,2024-11-24,Corolla,24257.34,0.02,Pending
201,9,2024-11-10,Camry,26339.37,,Cancelled
202,20,2024-11-11,Highlander,40517.24,0.03,Completed
203,19,2024-11-18,RAV4,34245.12,0.03,Completed
204,5,2024-11-01,RAV4,34529.56,0.03,Completed
205,13,2024-11-21,RAV4,34392.53,0.05,Pending
206,18,2024-11-17,Tacoma,39783.43,0.02,Completed
207,5,2024-11-28,Highlander,35552.15,0.05,Completed
208,7,2024-11-12,Camry,26861.98,,Pending
209,1,2024-11-01,Corolla,24676.47,0.02,Completed
210,1,2024-11-22,RAV4,30120.17,,Completed
211,13,2024-11-24,Corolla,21446.76,0.03,Pending
212,11,2024-11-09,Corolla,20061.03,,Completed
213,19,2024-11-16,Highlander,36134.49,0.03,Completed
214,19,2024-11-16,Camry,25571.72,0.05,Completed
215,6,2024-11-02,RAV4,34934.48,0.05,Completed
216,14,2024-11-25,Corolla,23870.01,0.03,Completed
217,11,2024-11-15,Camry,26279.43,0.05,Pending
218,5,2024-11-25,Tundra,47154.92,0.02,Pending
219,6,2024-11-08,Tacoma,30713.59,0.05,Completed
220,19,2024-11-09,RAV4,29764.59,0.03,Completed
221,19,2024-11-02,Highlander,42548.21,0.02,Completed
222,16,2024-11-27,Camry,28490.24,0.03,Completed
223,1,2024-11-22,RAV4,32885.28,0.03,Completed
224,18,2024-11-06,Camry,25823.75,0.05,Completed
225,5,2024-11-04,Camry,26318.24,0.03,Completed
226,5,2024-11-05,Tundra,38123.75,0.03,Completed
227,9,2024-11-08,Tundra,44114.64,0.03,Completed
228,16,2024-11-03,Tundra,38618.35,0.05,Completed
229,18,2024-11-25,RAV4,31903.99,0.03,Cancelled
230,18,2024-11-27,RAV4,34502.79,,Completed
231,20,2024-11-06,Corolla,21743.68,0.05,Completed
232,2,2024-11-22,Tacoma,37011.28,,Completed
233,10,2024-11-25,RAV4,28467.32,0.03,Cancelled
234,8,2024-11-05,Camry,26532.61,0.02,Pending
235,15,2024-11-24,Tacoma,36918.52,0.03,Completed
236,10,2024-11-06,Highlander,36631.91,0.03,Completed
237,18,2024-11-08,Highlander,37386.0,0.05,Pending
238,18,2024-11-29,Tacoma,35032.53,0.02,Cancelled
239,18,2024-11-17,Tundra,36653.13,0.02,Completed
240,19,2024-11-06,Tundra,45814.43,0.03,Completed
241,13,2024-11-27,RAV4,27453.76,0.02,Completed
242,8,2024-11-28,Camry,28186.95,0.02,Completed
243,7,2024-11-18,Camry,28135.63,,Completed
244,4,2024-11-03,Corolla,20819.19,0.05,Cancelled
245,17,2024-11-03,Tacoma,31272.95,,Cancelled
246,7,2024-11-20,RAV4,34313.24,0.03,Pending
247,11,2024-11-15,Tundra,37644.87,,Completed
248,9,2024-11-16,Highlander,36228.51,0.02,Completed
249,20,2024-11-20,Highlander,40192.98,0.03,Cancelled
250,8,2024-11-07,Tundra,36459.0,0.05,Completed
251,5,2024-11-19,Camry,25337.88,,Pending
252,5,2024-11-07,Highlander,39843.79,,Completed
253,16,2024-11-04,Highlander,39673.91,0.05,Completed
254,4,2024-11-01,Corolla,22774.52,0.05,Pending
255,12,2024-11-11,Tacoma,32265.92,0.03,Completed
256,10,2024-11-25,Tacoma,37248.8,,Cancelled
257,13,2024-11-28,Tundra,37464.06,0.02,Pending
258,4,2024-11-08,Highlander,41486.53,0.05,Completed
259,13,2024-11-18,Corolla,23883.81,0.02,Completed
260,3,2024-11-12,Tacoma,32836.22,0.05,Pending
261,16,2024-11-05,RAV4,28269.26,0.03,Completed
262,18,2024-11-28,Camry,27260.14,0.02,Completed
263,9,2024-11-04,Corolla,24503.6,0.02,Completed
264,2,2024-11-01,RAV4,30908.43,0.03,Cancelled
265,1,2024-11-11,Camry,27859.25,0.05,Pending
266,1,2024-11-16,Camry,27149.79,0.05,Completed
267,17,2024-11-03,Highlander,39848.63,0.03,Pending
268,12,2024-11-14,Tacoma,31282.83,,Completed
269,7,2024-11-05,Tundra,43696.05,,Completed
270,18,2024-11-28,Highlander,38860.12,,Completed
271,7,2024-11-07,Tundra,40804.49,,Pending
272,12,2024-11-26,Tundra,38834.22,0.05,Pending
273,16,2024-11-05,Corolla,22342.83,0.03,Completed
274,13,2024-11-26,Corolla,21767.94,0.03,Cancelled
275,6,2024-11-15,Highlander,36912.34,0.03,Completed
276,5,2024-11-13,RAV4,28759.16,0.05,Cancelled
277,13,2024-11-27,Highlander,35490.42,0.02,Completed
278,12,2024-11-11,Tundra,38050.09,0.03,Pending
279,12,2024-11-19,Tundra,44526.38,,Cancelled
280,17,2024-11-14,RAV4,28874.81,0.02,Completed
281,20,2024-11-21,Camry,28602.23,,Completed
282,10,2024-11-14,Camry,27047.1,0.03,Cancelled
283,3,2024-11-07,RAV4,31473.95,0.03,Completed
284,2,2024-11-24,Camry,29369.06,0.03,Completed
285,20,2024-11-07,Camry,29126.61,0.03,Pending
286,5,2024-11-04,Tacoma,36896.69,0.02,Pending
287,2,2024-11-10,Tundra,46201.8,0.05,Completed
288,18,2024-11-03,Corolla,22505.36,,Completed
289,6,2024-11-17,Highlander,35377.24,0.05,Completed
290,13,2024-11-10,Highlander,35102.56,0.05,Completed
291,9,2024-11-29,Tacoma,32373.84,0.03,Completed
292,20,2024-11-30,Tacoma,34857.95,,Completed
293,18,2024-11-25,Tundra,47441.45,0.05,Completed
294,5,2024-11-23,Tundra,46590.04,0.05,Completed
295,9,2024-11-12,Corolla,20650.94,0.05,Completed
296,10,2024-11-08,Camry,28082.83,,Completed
297,7,2024-11-07,Corolla,20673.95,0.03,Completed
298,14,2024-11-17,Tundra,39871.64,0.03,Completed
299,18,2024-11-26,Tacoma,37510.47,0.05,Completed
300,20,2024-11-13,Tundra,38715.73,0.03,Pending
301,2,2024-11-15,Camry,26249.79,,Cancelled
302,18,2024-11-01,Tundra,46279.17,0.03,Completed
303,15,2024-11-17,Corolla,20934.3,,Completed
304,9,2024-11-17,RAV4,28249.37,,Completed
305,16,2024-11-14,RAV4,32867.17,0.05,Completed
306,18,2024-11-01,Camry,28615.36,0.03,Completed
307,11,2024-11-20,Corolla,24122.61,0.05,Pending
308,11,2024-11-23,Tacoma,31624.59,0.02,Completed
309,7,2024-11-22,Highlander,40464.02,0.02,Completed
310,16,2024-11-22,Camry,26255.85,0.03,Completed
311,13,2024-11-19,Highlander,37850.05,,Completed
312,16,2024-11-08,Tundra,43059.02,,Pending
313,15,2024-11-29,RAV4,30728.09,0.03,Completed
314,14,2024-11-03,RAV4,31413.99,0.03,Completed
315,13,2024-11-13,Tundra,38464.44,,Completed
316,4,2024-11-15,Corolla,21403.33,0.05,Completed
317,1,2024-11-01,Camry,27690.66,0.03,Completed
318,7,2024-11-28,Corolla,21924.79,,Completed
319,3,2024-11-06,Camry,25691.32,0.03,Pending
320,16,2024-11-06,RAV4,29824.95,0.02,Completed
321,16,2024-11-25,RAV4,31356.77,,Completed
322,8,2024-11-01,RAV4,30599.11,0.03,Pending
323,2,2024-11-16,Camry,26185.46,0.02,Completed
324,5,2024-11-04,Tundra,35537.56,0.05,Completed
325,17,2024-11-20,Camry,28876.66,,Completed
326,1,2024-11-30,Tacoma,32891.35,0.05,Completed
327,1,2024-11-03,Tacoma,34087.87,0.03,Completed
328,19,2024-11-19,Camry,29396.94,0.02,Completed
329,20,2024-11-27,Camry,28098.65,0.02,Cancelled
330,13,2024-11-25,Corolla,22461.18,0.05,Completed
331,2,2024-11-24,RAV4,30649.25,0.05,Completed
332,5,2024-11-04,Corolla,22610.35,0.05,Cancelled
333,10,2024-11-27,Highlander,39226.76,,Completed
334,10,2024-11-24,Highlander,44005.39,0.05,Completed
335,11,2024-11-27,Tundra,38484.02,,Completed
336,14,2024-11-12,RAV4,29914.81,0.05,Completed
337,3,2024-11-02,Camry,25974.81,0.05,Completed
338,14,2024-11-07,RAV4,34233.94,0.02,Completed
339,3,2024-11-24,Tundra,38094.66,,Completed
340,17,2024-11-26,Corolla,24043.66,0.03,Pending
341,1,2024-11-16,Tacoma,37297.04,,Pending
342,13,2024-11-15,Highlander,43981.88,0.02,Completed
343,17,2024-11-02,Tundra,45023.27,,Completed
344,19,2024-11-05,Tundra,46840.11,0.02,Cancelled
345,5,2024-11-17,Tacoma,37840.9,0.03,Completed
346,1,2024-11-24,Camry,29794.24,,Completed
347,16,2024-11-03,RAV4,28217.91,0.05,Completed
348,11,2024-11-19,Corolla,23262.14,0.03,Pending
349,17,2024-11-01,Tundra,41372.43,0.02,Completed
350,11,2024-11-16,Tundra,46508.16,0.02,Completed
351,4,2024-11-25,Highlander,44875.86,0.05,Pending
352,7,2024-11-30,Corolla,20570.36,0.03,Completed
353,8,2024-11-30,Tundra,44104.05,,Completed
354,20,2024-11-10,RAV4,30945.82,0.05,Pending
355,12,2024-11-29,Corolla,23802.38,,Completed
356,6,2024-11-25,RAV4,30624.81,,Completed
357,6,2024-11-02,Highlander,39038.15,0.03,Completed
358,2,2024-11-05,Camry,27614.79,0.02,Completed
359,8,2024-11-08,Camry,28601.82,0.02,Completed
360,7,2024-11-10,Highlander,42534.37,,Completed
361,10,2024-11-15,Tacoma,30311.02,0.02,Completed
362,16,2024-11-20,Camry,26639.27,,Cancelled
363,19,2024-11-01,Highlander,41342.23,0.03,Completed
364,13,2024-11-03,RAV4,34773.59,,Completed
365,15,2024-11-10,RAV4,32362.2,,Completed
366,4,2024-11-21,Corolla,20653.68,,Pending
367,1,2024-11-11,RAV4,28045.56,,Pending
368,3,2024-11-14,Highlander,44654.76,0.03,Cancelled
369,16,2024-11-05,Tacoma,30979.28,0.03,Completed
370,7,2024-11-29,Tundra,49575.74,0.05,Completed
371,5,2024-11-29,Corolla,24471.39,0.03,Pending
372,9,2024-11-12,Highlander,36673.33,,Completed
373,6,2024-11-10,Tundra,39627.55,0.02,Completed
374,14,2024-11-26,Tacoma,31277.99,0.05,Cancelled
375,17,2024-11-06,Corolla,20834.22,0.05,Pending
376,18,2024-11-22,Camry,28589.0,,Completed
377,1,2024-11-05,Corolla,21851.68,,Cancelled
378,13,2024-11-17,Tacoma,31899.81,,Completed
379,14,2024-11-26,Tundra,49650.97,,Completed
380,12,2024-11-11,RAV4,28704.3,0.02,Completed
381,13,2024-11-26,RAV4,30057.58,0.02,Pending
382,9,2024-11-14,Tacoma,30199.92,0.03,Completed
383,10,2024-11-27,Tacoma,31640.64,0.05,Completed
384,10,2024-11-22,Corolla,21228.73,0.05,Completed
385,10,2024-11-20,Tacoma,31838.0,0.02,Completed
386,5,2024-11-13,Camry,27853.75,,Completed
387,19,2024-11-18,RAV4,30035.32,0.02,Completed
388,17,2024-11-28,Highlander,36881.13,,Completed
389,13,2024-11-30,RAV4,28363.0,0.03,Pending
390,16,2024-11-16,Tundra,48109.6,0.03,Completed
391,14,2024-11-13,Camry,25777.56,0.03,Completed
392,15,2024-11-28,Tacoma,30337.74,,Completed
393,20,2024-11-16,Camry,28033.91,0.05,Completed
394,11,2024-11-25,Camry,26488.68,0.02,Completed
395,9,2024-11-08,Corolla,20122.84,0.02,Completed
396,11,2024-11-18,Highlander,36156.36,0.03,Cancelled
397,6,2024-11-04,Corolla,21351.34,,Pending
398,3,2024-11-24,Tundra,48565.64,0.03,Completed
399,15,2024-11-12,Highlander,42981.01,,Completed
400,17,2024-11-18,Corolla,21446.28,,Completed
401,20,2024-11-08,Tacoma,37829.94,0.03,Completed
402,15,2024-11-21,Corolla,22046.96,0.02,Pending
403,2,2024-11-03,Highlander,43701.27,0.05,Completed
404,5,2024-11-12,Corolla,20220.42,0.05,Pending
405,4,2024-11-11,RAV4,34218.51,0.05,Completed
406,12,2024-11-10,RAV4,29097.99,0.05,Completed
407,13,2024-11-23,Tundra,43416.42,0.05,Cancelled
408,14,2024-11-27,Corolla,24734.71,0.05,Pending
409,11,2024-11-24,Highlander,37042.88,,Completed
410,20,2024-11-07,Camry,25476.86,0.03,Pending
411,8,2024-11-09,Highlander,44068.57,0.02,Completed
412,18,2024-11-18,Camry,25346.24,0.03,Completed
413,14,2024-11-14,Tacoma,32734.65,,Completed
414,13,2024-11-13,Camry,27283.72,,Cancelled
415,16,2024-11-05,Tundra,43993.7,0.03,Completed
416,15,2024-11-01,Highlander,44800.11,0.02,Completed
417,17,2024-11-11,Camry,27157.44,0.05,Pending
418,19,2024-11-29,Tundra,44339.69,0.05,Completed
419,16,2024-11-27,Corolla,20819.3,0.05,Pending
420,18,2024-11-08,Highlander,44552.62,0.02,Pending
421,3,2024-11-14,Camry,26006.8,0.02,Cancelled
422,15,2024-11-02,Tundra,37808.1,,Completed
423,16,2024-11-21,Tacoma,36373.49,0.05,Completed
424,19,2024-11-22,Tundra,44047.71,0.02,Completed
425,8,2024-11-25,Tundra,42135.47,,Completed
426,6,2024-11-23,Tacoma,37003.41,0.02,Completed
427,15,2024-11-03,Highlander,35438.81,,Completed
428,19,2024-11-24,Highlander,36963.06,0.02,Completed
429,11,2024-11-14,Highlander,39247.84,0.03,Completed
430,7,2024-11-22,Camry,29701.79,,Completed
431,6,2024-11-28,Corolla,21075.69,0.02,Completed
432,14,2024-11-08,Tundra,43648.61,,Completed
433,3,2024-11-11,Camry,25833.73,0.05,Pending
434,18,2024-11-26,Highlander,37722.41,0.03,Cancelled
435,18,2024-11-22,Tundra,38327.47,,Completed
436,18,2024-11-09,Tacoma,33906.75,0.05,Pending
437,16,2024-11-24,Camry,25718.26,0.02,Completed
438,15,2024-11-16,Camry,26302.8,0.05,Completed
439,15,2024-11-22,Tacoma,39299.37,,Cancelled
440,16,2024-11-15,Highlander,44152.25,0.05,Completed
441,4,2024-11-22,Tundra,39050.36,0.03,Completed
442,10,2024-11-26,Corolla,23398.26,,Cancelled
443,17,2024-11-12,Corolla,23343.6,0.02,Completed
444,4,2024-11-02,Tacoma,30788.04,,Completed
445,11,2024-11-15,Tacoma,32818.65,0.05,Completed
446,4,2024-11-07,Camry,27725.56,0.05,Completed
447,3,2024-11-08,Tacoma,33633.6,0.03,Completed
448,12,2024-11-30,RAV4,30809.85,0.05,Completed
449,3,2024-11-04,Tundra,40037.02,,Completed
450,7,2024-11-13,Corolla,22357.07,0.02,Pending
451,18,2024-11-22,Corolla,20658.05,0.03,Pending
452,9,2024-11-10,Tundra,39935.81,,Completed
453,8,2024-11-04,Corolla,24441.44,0.03,Completed
454,7,2024-11-13,RAV4,30088.23,0.05,Completed
455,19,2024-11-07,Tundra,44740.08,,Completed
456,12,2024-11-13,Highlander,35271.04,0.02,Completed
457,17,2024-11-28,Corolla,22503.61,0.05,Completed
458,2,2024-11-28,Camry,26357.1,,Completed
459,9,2024-11-21,RAV4,32405.33,0.05,Completed
460,7,2024-11-07,Highlander,35909.31,,Completed
461,10,2024-11-27,Corolla,20492.73,,Completed
462,7,2024-11-25,Tundra,46749.13,0.03,Completed
463,9,2024-11-06,RAV4,32766.24,0.02,Completed
464,8,2024-11-18,RAV4,33455.45,0.02,Completed
465,19,2024-11-25,Corolla,24663.43,0.05,Completed
466,7,2024-11-09,Tundra,47301.53,0.02,Completed
467,20,2024-11-21,Camry,28218.31,0.05,Pending
468,13,2024-11-24,Highlander,44501.23,0.02,Completed
469,16,2024-11-20,RAV4,30354.53,0.05,Completed
470,19,2024-11-08,RAV4,27053.26,0.02,Completed
471,2,2024-11-29,Tundra,47548.58,0.05,Completed
472,2,2024-11-16,Camry,28831.14,0.02,Completed
473,19,2024-11-17,RAV4,32882.98,0.02,Pending
474,8,2024-11-26,Highlander,41919.45,0.05,Completed
475,8,2024-11-11,Camry,29863.49,0.05,Completed
476,3,2024-11-18,Tacoma,39473.2,0.02,Completed
477,6,2024-11-09,Tundra,47350.62,,Completed
478,7,2024-11-05,RAV4,33991.43,0.05,Completed
479,19,2024-11-11,Corolla,24608.47,0.03,Completed
480,6,2024-11-17,Tacoma,38254.2,0.03,Pending
481,17,2024-11-03,Corolla,20595.92,0.02,Completed
482,7,2024-11-15,Camry,28715.18,0.02,Completed
483,4,2024-11-14,Camry,29007.33,,Pending
484,20,2024-11-07,Camry,27092.43,0.02,Pending
485,17,2024-11-20,Corolla,24335.24,0.03,Completed
486,7,2024-11-15,Tundra,43811.1,,Pending
487,10,2024-11-24,Highlander,41988.6,0.05,Completed
488,10,2024-11-06,Highlander,39621.03,,Completed
489,20,2024-11-11,Tacoma,35612.29,,Completed
490,20,2024-11-12,Highlander,39010.17,0.05,Pending
491,15,2024-11-07,Highlander,40794.17,0.02,Pending
